word, count
the,145727
of,115235
to,60056
or,42919
a,42017
and,40429
in,39751
act,37066
be,27468
by,25252
section,23344
for,22653
shall,21789
this,21029
as,18658
any,16752
under,14384
an,13757
such,13583
may,12772
that,12317
on,12222
minister,10699
person,10579
which,10049
not,9648
subsection,9084
with,7918
no,7684
other,6908
it,6736
amendment,5871
order,5389
if,4928
acts,4732
made,4606
at,4445
where,4425
court,4342
from,4335
so,4058
time,4056
board,4054
pound,3967
relation,3868
he,3863
has,3741
number,3714
principal,3657
after,3613
respect,3580
offence,3578
means,3577
day,3514
specified,3473
case,3433
part,3411
have,3336
authority,3205
provisions,3180
who,3170
paragraph,3126
company,3113
than,3097
been,3077
are,3055
before,3048
his,3014
finance,2967
purposes,2738
state,2726
following,2658
amended,2657
being,2615
regulations,2552
period,2476
local,2374
member,2368
was,2364
referred,2320
amount,2285
schedule,2276
hereby,2259
subject,2249
out,2246
said,2190
persons,2189
officer,2171
one,2121
him,2117
application,2067
notice,2026
body,1989
tax,1975
certain,1974
reference,1959
date,1922
exceeding,1892
within,1891
all,1883
each,1853
land,1843
make,1836
scheme,1819
into,1814
provision,1805
apply,1801
its,1776
substitution,1710
but,1683
service,1642
house,1638
public,1616
purpose,1597
proceedings,1585
paid,1582
year,1578
office,1559
without,1559
effect,1535
concerned,1525
functions,1514
title,1510
payment,1509
government,1506
either,1481
appropriate,1452
provided,1436
construed,1432
including,1422
cited,1418
development,1411
conditions,1401
commencement,1388
payable,1378
fine,1377
provide,1373
property,1359
fund,1356
information,1356
social,1356
appeal,1355
short,1333
every,1332
welfare,1326
whether,1314
accordance,1313
given,1305
licence,1299
relating,1290
members,1290
employment,1286
health,1282
commissioners,1275
moneys,1267
services,1244
sections,1238
force,1215
those,1210
whom,1203
together,1199
consent,1198
appointed,1195
exceed,1187
otherwise,1178
law,1177
matters,1168
follows,1145
pursuant,1129
conviction,1114
applies,1112
enacted,1111
expenses,1109
liable,1106
guilty,1104
european,1101
more,1098
general,1095
interest,1091
years,1086
deemed,1086
place,1082
there,1082
pension,1081
relates,1065
agency,1065
unless,1063
powers,1061
inserted,1051
amend,1043
power,1041
commission,1039
days,1037
district,1032
entitled,1030
would,1000
evidence,998
operation,997
thereof,995
authorised,988
were,987
imprisonment,984
benefit,980
required,967
goods,961
aforesaid,957
regulation,949
certificate,940
child,939
necessary,934
rate,933
allowance,931
terms,927
having,924
during,913
meaning,905
two,893
making,891
relevant,890
committee,889
both,885
manner,866
agreement,863
term,862
director,858
collective,858
prescribed,854
supply,854
references,851
report,848
area,846
first,845
central,844
particular,841
months,837
against,835
table,831
behalf,827
accordingly,825
national,821
sum,818
council,818
citation,818
next,817
companies,814
financial,813
th,807
premises,804
irish,798
employee,793
registered,793
control,781
grant,778
register,774
upon,770
writing,768
notwithstanding,766
virtue,754
transfer,747
age,746
income,743
construction,743
justice,739
election,737
had,734
taken,732
give,728
pounds,728
enactment,726
laid,724
they,724
bank,721
when,721
interpretation,721
summary,720
her,719
shares,717
duties,716
name,714
immediately,714
county,711
granted,708
set,703
less,703
soon,702
prejudice,696
reasonable,695
limited,695
cause,694
pensions,694
them,692
matter,691
direction,688
offences,688
officers,683
accounts,681
orders,681
work,679
employer,678
come,672
special,672
insertion,671
establishment,670
charge,665
use,664
form,663
payments,662
arrangement,662
road,661
includes,660
their,658
duty,657
account,657
criminal,654
appointment,653
pay,652
same,651
rates,651
transport,650
business,644
passing,641
trade,641
industrial,639
corporate,637
tribunal,629
document,628
statement,627
subsections,621
high,620
institute,619
copy,619
allowances,619
held,617
decision,610
commissioner,608
further,607
contract,606
registration,604
anything,602
mentioned,601
done,600
incurred,600
considers,599
staff,596
require,595
exercise,594
does,588
circumstances,583
committed,580
fit,578
capital,578
sale,578
opinion,575
building,574
increase,571
another,571
established,566
request,565
regard,562
new,562
whose,560
insurance,558
thinks,557
planning,557
communities,556
trust,556
possession,554
substituted,552
determination,549
rights,549
assistance,549
management,548
civil,546
far,546
party,545
until,543
association,543
money,542
defence,540
take,539
corporation,537
include,535
comply,535
used,533
qualified,531
convention,531
resolution,530
courts,527
education,523
received,522
different,521
produce,521
housing,520
december,520
only,520
authorities,516
hundred,514
right,513
currency,509
proposed,509
article,508
remuneration,504
due,502
jurisdiction,501
issue,501
therein,498
guarantee,495
assembly,488
compensation,486
satisfied,485
second,483
agricultural,480
contributions,479
determine,477
assigned,476
chairman,472
hold,471
approval,471
determined,470
governing,468
conferred,467
employees,465
chief,462
warrant,461
subparagraph,461
revenue,460
owner,454
constitution,454
passed,452
employed,452
extent,451
action,450
appoint,450
liability,447
performance,447
documents,445
ordinary,444
charged,443
holding,442
issued,442
expenditure,442
auditor,440
international,440
value,440
weekly,439
april,439
grants,438
unemployment,438
she,434
vehicle,434
electoral,433
elections,433
records,430
direct,430
between,427
superannuation,425
children,425
miscellaneous,424
sums,422
trading,422
definition,422
consultation,420
extend,420
designated,420
credit,418
approved,417
then,415
column,414
chapter,414
july,409
transferred,408
three,408
works,407
known,402
contribution,401
dublin,400
judge,400
data,399
proper,396
comptroller,395
connected,391
repealed,390
class,390
particulars,388
reason,387
contained,386
fees,385
rent,385
society,384
previously,383
entry,383
discretion,383
eireann,382
disposal,380
circuit,378
protection,377
up,377
signed,373
expiration,372
material,369
per,368
annual,368
connection,366
indictment,366
fisheries,366
receipt,366
addition,366
leave,366
amounts,365
carried,363
aggregate,363
