word, count
a,17009
an,16594
agus,8208
en,7280
na,6279
ar,5609
i,5409
de,4677
nó,4414
sin,4282
do,3948
seo,3836
le,3750
den,3710
aon,3634
acht,3608
go,2891
alt,2713
leis,2621
chun,2467
ag,2107
uimhir,2063
san,1971
in,1876
tacht,1799
é,1599
faoi,1552
mar,1475
sé,1450
ná,1448
duine,1432
ina,1361
um,1304
sa,1207
dhéanamh,1204
eile,1202
réir,1199
dá,1195
bheith,1157
bheidh,1123
uacute,1071
gach,1068
chur,1039
faoin,1031
ní,1017
lá,1004
taire,973
beidh,927
don,921
leasú,851
iacute,851
atá,820
aire,806
fé,785
leith,776
éis,712
maidir,712
gcás,670
nach,661
féadfaidh,650
uimh,645
leanas,624
mó,617
tar,616
bhfuil,608
gur,604
gan,599
féadfar,591
coimisinéirí,559
as,558
fén,530
má,528
lena,526
cibé,526
thabhairt,516
ordú,515
oireachtas,515
isteach,511
ann,510
achta,506
leas,503
méid,491
más,486
scéim,478
níos,469
tréimhse,468
ach,464
mbeidh,454
ionad,453
acu,444
sna,442
trí,436
amhlaidh,433
forálacha,428
iad,427
airgeadais,427
aige,423
áirithe,414
arna,387
airgead,376
ciallaíonn,375
roimh,371
sceideal,368
á,364
pé,363
amach,361
chuid,359
ó,357
dó,344
daoine,343
air,342
déanfar,340
éireann,337
ghairm,335
amháin,333
dtaobh,332
údarás,326
hachtanna,321
rialacháin,313
ailt,307
sórt,304
ón,302
iníoctha,299
mbaineann,297
críocha,294
ráta,292
thar,283
leasa,281
haon,279
bhaineann,278
tsórt,277
oifigiúil,276
bord,275
aghaidh,272
mír,260
í,260
éifeacht,259
dáta,255
dtí,254
talún,250
mhéid,248
rith,248
achtanna,247
íoc,245
ile,244
ghabhann,242
laistigh,241
rátaí,237
dar,231
hordú,230
áitiúil,230
oifigeach,229
bliana,228
chéile,226
féadfidh,225
chéad,224
gá,219
cuireadh,218
leasaítear,218
teine,215
airgid,215
tráth,213
bhun,211
tríd,210
am,209
earraí,209
luach,209
áitiúla,208
roimhe,205
slí,205
bhí,204
fógra,204
achtaítear,199
dhá,199
nua,198
feidhm,198
dlí,196
bhfeidhm,196
mura,196
bhráid,191
feidhme,191
measfar,191
rialtais,189
cuid,189
seirbhísí,188
talamh,187
nuair,187
bhliain,185
pinsean,184
sláinte,184
orduithe,182
seachas,180
déanamh,180
iomchuí,180
seilbh,179
uair,179
rud,178
áit,175
chuideachta,175
stáit,175
tailte,174
tagairt,173
iontaobhais,173
feadh,173
críche,173
ndáil,172
chúirt,172
coimisiún,172
éinne,171
haghaidh,171
díreach,170
cheann,170
cánach,168
nithe,168
fostaíochta,167
shóisialaigh,165
iasacht,164
gearrtheideal,164
dul,163
talmhaíochta,163
comhairle,162
rinneadh,160
ciontach,160
ochta,159
cuí,159
féin,158
iomlán,158
suim,157
raibh,157
mhí,157
dhiaidh,156
tiontú,155
féidir,155
ngníomh,153
oireachtais,153
leo,153
oifig,152
iarratas,150
tslí,149
stát,149
cúig,149
ceann,148
fháil,148
saothair,148
sonraithe,146
focal,146
huaire,145
punt,144
coinníollacha,144
halt,144
síochána,144
socrú,143
ndéanfar,142
cion,140
seach,139
leanbh,139
hacht,137
saoire,137
rialachán,137
chuige,136
bith,136
ioncaim,136
dhuine,136
tosach,133
chontae,133
dteideal,133
teoranta,133
seirbhíse,132
sochair,131
mhír,131
scríbhinn,130
shonraítear,130
ainm,130
sí,129
suimeanna,129
ceart,127
léir,127
áireamh,127
chiontú,127
puiblí,126
nách,126
gcéad,126
teach,126
toiliú,125
pinsin,125
téarmaí,124
cáin,124
deimhniú,123
mbeadh,123
lú,123
leathnú,122
déanfaidh,121
mba,120
céanna,120
fiche,120
dineadh,120
la,119
siad,118
ham,118
oiriúnach,117
scéime,117
dhéanfaidh,117
déanta,117
chomhairle,116
gurb,116
tionscail,116
arm,115
reatha,115
gcion,115
bliain,113
sochar,113
poiblí,113
fíneáil,112
faoina,112
aonad,112
luaitear,111
rún,111
cheapadh,110
dháta,110
cuirfear,110
forléireofar,110
bhíonn,109
ciste,108
údaráis,108
bhua,108
cuideachta,107
chás,107
liúntais,107
ndiaidh,107
comhalta,107
tiocfaidh,106
ordaithe,105
raghaidh,105
tré,104
shaorstáit,104
bheas,104
uile,104
luaidhtear,103
dhún,103
ceaptha,103
teideal,103
sholáthar,102
gheall,101
téarma,101
dealgan,101
thalamh,101
tsuim,100
gcoimisinéirí,100
chomhalta,100
chiste,100
iascaigh,100
ráiteas,100
dóibh,99
linn,99
dochar,99
bhrí,99
nachtanna,98
bhaile,98
liúntas,98
íocaíocht,98
sealadacha,98
mara,98
srianta,97
comhlua,96
rialacha,96
seachadadh,96
luaithe,96
nár,95
thuras,95
dara,94
bhoird,94
fhoráil,94
thógaint,94
ionann,93
sonraí,93
ábhar,93
stiúrthóir,93
tugadh,93
fáil,93
iti,93
gcóir,92
chéanna,92
coiste,92
rialtas,92
choinneáil,92
dtagraítear,92
forbartha,92
idir,91
méadú,91
bhord,91
tí,91
dréineála,91
díobh,91
leagtha,90
siar,90
contae,90
soláthar,89
cialluíonn,89
leagan,88
cuntasach,88
tráchtála,88
imeachtaí,88
athrú,87
mbord,87
tábla,86
caiteachais,86
gharda,86
aird,85
crícheanna,85
dlite,85
comhacht,85
áitreabh,85
riail,85
láthair,85
úsáid,84
achomhairc,84
laethanta,84
ceadúnas,84
toghcháin,84
éileamh,83
reacht,83
ortha,83
cliath,83
éinní,83
chomhlíonadh,82
scór,82
déag,82
tagairtí,82
dhéanfar,82
údaraithe,81
roimhráite,81
leictreachais,81
iarainn,80
cáilithe,80
os,80
tá,80
cinneadh,79
acmhainn,79
dhíol,79
mhárta,79
oibre,79
gnó,79
cuirfidh,79
cúirte,79
dleathach,79
focail,78
ansin,78
dhéanfidh,78
phunt,78
ranníocaí,77
toireachtas,77
cead,77
choiste,77
rá,77
nollaig,77
ceapadh,77
cláraithe,76
dhéanann,76
fostaithe,76
airm,76
mhaoin,75
doiciméad,75
amhail,75
comhachta,75
lae,75
iontaobhaí,75
deich,75
chineál,75
comhaontú,74
di,74
speisialta,74
maoin,74
aistriú,74
chinneadh,73
ocht,73
lacha,73
léiriú,73
toghacháin,72
forála,72
tarbh,72
réasúnach,72
oifigigh,71
cheangal,71
inchánach,71
iúl,71
gcomhairle,71
hearraí,71
thosach,71
héireann,71
gcúirt,71
shlí,70
tríú,70
tuarascáil,70
cumhacht,70
dtreo,70
oibreacha,70
críoch,69
íocfar,69
mhéadú,69
déanaí,69
léi,69
faoiseamh,69
ríomh,69
hoibreacha,69
bhliantúil,69
bhunú,69
dteannta,69
foráil,69
bheadh,69
éagsúla,68
fostaí,68
dóigh,68
tithe,68
gcuid,68
cuntas,68
feidhmiú,68
brí,68
gcoinnibh,68
arb,67
scaireanna,67
scrúdú,67
uchtála,67
íoctha,67
rinne,66
ngach,66
fhógra,65
obair,65
aistrithe,65
cóip,65
dlífear,64
cur,64
uisce,64
cosanta,64
mhalairt,64
achomharc,64
deiridh,64
earra,64
sealadach,64
réamhráite,64
ghlacadh,63
fhorléiriú,63
seirbhís,63
cumann,63
ionstraim,63
scoirfidh,63
inmhuirir,63
talmhan,63
leithreasa,62
suas,62
chomaoin,62
ceachtar,62
choimisiún,61
abairt,61
eorpach,61
uaidh,61
sia,61
iarraidh,61
fheidhmiú,61
thagairt,61
chumhacht,61
banc,61
aisíoc,60
ndearnadh,60
ábhair,60
déanfidh,60
bhaineas,60
ceardchumann,60
caoga,59
tuigfar,59
comhaltaí,59
dúradh,59
dhin,59
eisiúint,59
cheadóidh,58
fostóir,58
ordóidh,58
cionta,58
gníomhú,58
nta,58
oifige,58
ndéanfaidh,58
tionnscail,57
inar,57
achtachán,57
feidhmeanna,57
gcoimisiún,57
cheannach,57
bhreis,57
neamhní,57
sholáthróidh,57
deonadh,57
shonrófar,57
breise,56
chlár,56
cháin,56
fostú,56
reachtúil,56
tabharfaidh,56
fhíneáil,56
chleachtais,56
deontas,56
chlárú,55
gcomhphobal,55
déantar,55
dteanta,55
sheachadadh,55
reachtúla,55
chó,55
beirt,55
húdaruítear,55
rogha,54
ghárda,54
riaradh,54
dífhostaíochta,54
ceadú,54
roinn,54
corpraithe,54
mínithe,54
líomatáiste,54
iarbhír,54
baill,54
seacht,54
mí,54
té,53
eolas,53
deireadh,53
nóta,53
cumhachtaí,53
amuinisean,53
deontais,53
tudarás,52
sh,52
taifid,52
dhaingniú,52
forléiriú,52
hiomlán,52
isi,52
rachaidh,52
dhéag,51
dhineann,51
bpinsean,51
tabharfar,51
dhaoine,51
iúil,51
bhaint,51
cúiteamh,50
céad,50
cheart,50
chúlghairm,50
mbliana,50
rialú,50
chimeád,50
bhainfidh,50
thaobh,50
chinnfidh,50
comhlacht,50
thugtar,50
aici,50
socruithe,49
ngairtear,49
achtuigheadh,49
shocrú,49
muirear,49
ngairmtear,49
linbh,49
praghas,49
faide,49
ghnó,49
diúltú,49
adh,49
gcionta,49
sonrasc,49
bainisteoir,48
cearta,48
tuatha,48
comhionann,48
chomhaontú,48
fianaise,48
conradh,48
scéimeanna,47
cairde,47
iompar,47
míreanna,47
achmair,47
rúnaí,47
iontaobhaithe,47
leagfar,47
mbunreacht,47
leanfaidh,47
deimhin,47
údarú,47
gabháil,47
imeachta,46
adubhradh,46
chúig,46
díol,46
talmha,46
doiciméid,46
bhféadfar,46
bainc,46
úis,46
ús,46
pháirc,46
dtabharfar,45
phríomh,45
gcéanna,45
fhorálacha,45
pá,45
beartaithe,45
isialaigh,45
sheachtainiúil,45
líon,45
léireofar,45
bhall,45
míle,45
tigh,45
dtithe,45
seachtainiúil,45
ceapfar,44
dhéanta,44
scriosadh,44
ligean,44
sceidealta,44
hachta,44
fhorbairt,44
buan,44
cháilithe,44
teacht,44
bheirt,44
bean,44
cúnaimh,44
folaíonn,43
theacht,43
