cúpla,mó,baint,ea
caint,am,leabhar,cur
dar,éigin,chur,bhíodh
liom,mac,Gaeilge,thaobh
iarraidh,san,shin,ab
súil,leat,leat,cinnte
ea,bhain,scríobh,beag
thug,seán,timpeall,ansin
acu,réir,síos,uaidh
fháil,chuid,chuid,anseo
bith,é,inniu,eile
siar,sí,chuid,agus
thart,mhór,thart,bhí
eolas,bith,seo,rud
teanga,in,teanga,trí
óg,shin,siar,dhaoine
b'fhéidir,ní,thug,rinne
fada,dúirt,is,lch.
feadh,sin,éis,mé
den,Gaeilge,trí,chuaigh
chaith,freisin,bhfuil,seisean
mbíonn,Gaeltachta,dar,úsáid
ceann,sna,mise,uí
mise,am,timpeall,ainm
ansin,ann,dhaoine,ea
tú,maith,léir,tar
cuid,Gaeltachta,isteach,rinne
ansin,méid,méid,maith
baint,lch.,cén,teach
chuid,saol,bhí,anuas
ceann,cé,os,sásta
Irish,níor,raibh,mó
lucht,ea,tíre,dar
duine,mé,timpeall,cinnte
teach,anois,dó,gurb
féidir,bíonn,oíche,chéad
agam,mbíonn,dhaoine,éigin
anuas,mé,í,á
i,cliath,sa,áirithe
bliain,againn,Irish,shin
linn,go,cheart,léir
nár,lá,tháinig,ea
iarraidh,más,átha,daoine
leor,mhór,den,suas
lae,fiú,gcónaí,lucht
bhaile,mise,siúl,mhaith
gcónaí,bheadh,úsáid,nuair
measc,san,rinne,bheadh
ndiaidh,ár,thart,go
anois,ba,déanta,dhaoine
tharla,fada,cheann,alt
duit,déanta,nuair,leanas
Éirinn,uair,cúpla,anois
cinnte,raibh,caint,amach
ábhar,chur,isteach,arís
súil,éis,gcuid,orm
lámh,scríobh,measc,ina
di,léi,aghaidh,chuir
nuair,láthair,cur,ndiaidh
mbaile,féidir,sé,bheith
tí,céanna,deireadh,cliath
don,dhiaidh,orm,shin
gceist,di,istigh,féidir
súil,bheidh,cúpla,do
teanga,ábhar,ba,ab
chuige,cinn,mbaile,síos
tá,gur,á,freisin
é,cén,os,leabhar
leith,leabhar,baint,úsáid
dom,aon,úsáid,leis
go,Ghaeilge,in,Gaeltachta
bhfuil,go,saol,cén
ceann,leat,chun,orm
méid,atá,orm,iad
bheidh,deireadh,déanamh,cliath
mo,scoil,leanas,déanta
fear,dhiaidh,réir,idir
fad,thabhairt,nós,aige
fiú,uaidh,uisce,am
léi,sásta,bheith,fáil
Irish,bean,cé,riamh
lá,ort,gurb,ag
níl,duine,siúd,áirithe
bhliain,siúl,daoine,aige
lena,bean,dom,déanta
fear,sin,ansin,ach
suas,síos,orthu,níl
mo,tír,leanas,bhíodh
timpeall,mhaith,maith,seán
léir,chur,Irish,áirithe
baile,den,Gaeilge,chuir
eolas,chéile,átha,sé
chéile,lá,ais,raibh
istigh,alt,siúl,ansin
bliana,cheana,déanamh,bliana
linn,muid,thaobh,seo
amháin,agam,leo,bheith
níor,mbaile,fíor,bliain
ansin,Irish,saol,óg
dom,lán,bheidh,cinnte
an,cinnte,rith,thaobh
teanga,dhiaidh,tríd,dé
mbeadh,éigin,lár,gach
tí,bheidh,nó,mhaith
fad,cén,bhí,bhíonn
ceart,a,tú,ár
nó,timpeall,bhliain,don
fhios,ais,measc,beidh
bith,ort,léir,sí
ansin,ó,gurb,bhfad
déanamh,mó,ón,dar
minic,a,tír,aon
bhí,seo,chéile,maidir
b'fhéidir,cheart,Irish,gur
freisin,teacht,hÉireann,chuig
díreach,den,don,mbeadh
áit,síos,óg,Irish
cur,don,nuair,chuig
dóibh,mórán,idir,bheith
thug,Gaeilge,dom,níos
idir,fháil,agus,aige
gurb,mbaile,ábhar,déanta
seisean,do,dhéanamh,más
oíche,bhfad,siúd,Irish
bharr,uisce,níl,bhfuil
uirthi,bheith,cad,dom
aon,bean,cheart,bheadh
mbaile,siar,dtí,áirithe
tháinig,súil,tá,den
bhíodh,lán,fear,óg
dhaoine,chuir,den,is
ea,leanas,fearr,atá
mbeadh,gurb,an,ach
lán,amháin,dhéanamh,dar
ná,más,ag,mhór
hÉireann,muid,mise,shin
baile,di,ó,seisean
ndiaidh,san,déanamh,leabhar
tháinig,leor,siar,bliain
seán,agus,tí,air
amuigh,ón,dul,rialtas
bhaile,ainm,minic,eile
arsa,scríobh,suas,céard
aghaidh,muid,gan,ndiaidh
bhfad,maith,tá,chur
is,sna,mbaile,le
fada,fada,í,nó
orm,cén,do,thar
bhíonn,chuir,siúd,hÉireann
láthair,siad,seo,anois
dara,lae,gan,agam
bhfad,Éirinn,céard,chun
chur,againn,síos,súil
ea,sí,gurb,taobh
mise,saol,do,roinnt
is,Gaeilge,síos,ansin
chuige,fad,Gaeilge,sna
am,gur,taobh,gcónaí
tharla,sí,tríd,na
féidir,nach,cinnte,súil
roimhe,ina,fós,inniu
sa,fháil,tríd,siad
amach,ainm,thaobh,oibre
leith,deireadh,faoi,ceann
ba,éis,ndóigh,féin
gur,gur,deir,deir
fíor,bheith,amuigh,féidir
a,fháil,dúinn,í
is,bhíodh,mac,thaobh
aici,tháinig,cheann,beidh
chaith,níos,sí,mór
taobh,arís,den,acu
tríd,átha,arís,chun
cheana,anuas,faoin,ceart
chun,rinne,amháin,cheart
in,bhfad,inniu,siúl
bliain,lár,réir,chuige
