in any case where an application for an adoption order is made under this section any consent given to the making of an adoption order in inspect of the child in favour of the married couple shall be regarded,déanfar neamhshuim in aon chás a ordú uchtála faoin alt seo toiliú a tugadh le hordú uchtála a dhéanamh maidir leis an leanbh i bhfabhar na lánúna pósta,
i the widower has at the date of his application another child in his custody and,i go mbeidh leanbh eile ina choimeád ag an mbaintreach fir ar dháta an iarratais uaidh agus,
ii every person whose consent to the making of the adoption order is required by section of the principal act or by section of the act of knows when he gives his consent that the applicant is a widower,ii i gcás gach duine ar gá de réir alt den phríomh,
the board may make an adoption order relating to that child on the application of the widower provided that mdash,féadfaidh an bord ordú uchtála a dhéanamh i ndáil leis an leanbh sin ar an mbaintreach fir á iarraidh sin ar choinníoll mdash,
the minister road authority or other person by whom that function is performed shall be authorised to do that act or thing in relation to the exercise or performance by him or them of the function as if he or they were the first mentioned road authority,beidh údarás ag an aire ag an údarás bóithre nó ag an duine eile a chomhlíonfaidh an fheidhm sin an gníomh nó an ní sin a dhéanamh i ndáil le feidhmiú nó comhlíonadh na feidhme sin aige nó acu amhail is dá mba eisean nó iadsan an bóithre céadluaite,
where a function of a road authority becomes exercisable or performable by another road authority under this section or under section of this act the minister may by order vest in and transfer to the first mentioned road authority any property debt or liability acquired or incurred in the exercise or performance of the function by the minister other road authority or other person and any such property debt or liability shall vest and attach accordingly,i gcás feidhm de chuid údaráis bhóithre teacht chun bheith le feidhmiú nó le comhlíonadh ag údarás bóithre eile faoin alt seo nó faoi alt den acht seo féadfaidh an taire le hordú aon mhaoin fiach nó dliteanas a fuarthas nó a tabhaíodh le linn don aire don údarás bóithre eile nó don duine eile a bheith ag feidhmiú nó ag comhlíonadh na feidhme a dhílsiú don údarás bóithre céadluaithe agus a aistriú chuige agus rachaidh aon mhaoin fiach nó dliteanas den sórt sin i ndílsiú agus in astú dá réir sin,
the minister may after consultation with all road authorities concerned by order authorise the performance of that function by one or more of the other road authorities and thereupon the road authority or road authorities so authorised may exercise or perform that function,féadfaidh an taire le hordú tar éis dó comhairle a ghlacadh leis na húdaráis bhóithre go léir lena mbaineann comhlíonadh na feidhme sin ag ceann amháin nó níos mó de na húdaráis bhóithre eile a údarú agus as a aithle sin féadfaidh an bóithre nó na húdaráis bhóithre a údarófar amhlaidh an fheidhm sin a fheidhmiú nó a chomhlíonadh,
the minister may by order revoke an order made under subsection of this section,féadfaidh an taire le hordú ordú faoi den alt seo a chúlghairm,
where mdash,i gcás mdash,
the persons who may or shall as the case may be enter into such arrangements as aforesaid are,siad daoine a fhéadfidh no a dhéanfidh aca é socruithe den tsórt san roimhráite do bhunú ná mdash,
where an arrangement for mutual assistance is entered into under this section in pursuance of a requirement of the minister the terms and conditions of the arrangement shall be subject to the approval of the minister and shall in default of agreement between the parties thereto be settled by the minister,más do réir éilimh ón aire a bunófar socrú chun comhair fén alt so beidh téarmaí agus coiníollacha an tsocruithe fé réir chead an aire agus mara ina dtaobh idir na páirtithe chun an tsocruithe isé an taire a shocróidh iad,
the period during which any such arrangement as aforesaid may or shall as the case may be be entered into and carried into effect is the period from the passing of this act to the time at which a supply of electricity produced under statutory authority by means of hydraulic power derived from the waters of the river shannon becomes available to all the authorised undertakers entering into the arrangement,sí tréimhse ina bhféadfar no ina ndéanfar aca é aon tsocrú den tsórt san roimhráite do bhunú agus do chur in éifeacht ná an tréimhse o am rithte an achta so go dtí an na mbeidh ar fáil ag na gnóthairí údaruithe uile a bhunóidh an socrú soláthar leictreachais a déanfar fé údarás reachtúil le a gheobhfar o uiscí abha na sionainne,
the commander of an irish controlled aircraft shall if possible before and in any event as soon as practicable after the termination of its flight in the territory of a tokyo contracting state with a person on board whom he intends to deliver to competent authorities of that state pursuant to section of this act notify the appropriate authority of mdash,tabharfaidh ceannasaí aerárthaigh faoi urlámhas éireannach más féidir é sula gcríochnóidh sí a heitilt agus ar aon nós a luaithe is féidir é tar éis di a heitilt a chríochnú i gcríoch stát chonradh tóiceo agus duine ar bord atá sé chun a sheachadadh inniúla an stáit sin de bhun alt den acht seo fógra don údarás iomchuí mdash,
before recommending a person to a local authority for appointment to an office to which this act applies the commissioners shall satisfy themselves in such manner as they think proper that such person possesses the qualifications prescribed under this section for such office,sara molaid duine áitiúil le ceapa chun oifige le mbaineann an tacht so déanfidh na coimisinéirí deimhin de dhóibh féin ar pé slí is dó leo is ceart go bhfuil ag an duine sin na cáilíochta a horduítear fén alt so i gcóir na hoifige sin,
the commissioners if they so think fit may at any time with the consent of the minister and after such consultation as may be possible or convenient with such associations or bodies as the minister for local government and public health may consider to be representative of local authorities prescribe generally the qualifications for all offices comprised in any particular description class or grade of offices to which this act applies and may so prescribe generally any qualification which they could prescribe specially under of this section in respect of any particular office comprised in such description class or grade,le toil an aire agus tar éis dul i gcomhairle mar is féidir no is caothúil dóibh le pé comhlachaisí no cóluchtaí is dó leis an aire rialtais áitiúla agus sláinte puiblí do bheith ionadathach áitiúla féadfidh na coimisinéirí aon uair más oiriúnach leo é na cáilíochta go generálta i gcóir na uile a háirítear ar aon tsaghas no aicme no grád áirithe le mbaineann an tacht so agus féadfid a ordú amhlaidh go generálta aon cháilíocht a ordú go speisialta fé den alt so i gcóir aon oifige áirithe a háirítear ar an saghas ar an aicme no ar an ngrád san,
the expression the principal act means the local bankruptcy ireland act,cialluíonn an focal an an,
the expression the court means the cork local bankruptcy court established by the principal act,cialluíonn an focal an chúirt cúirt áitiúil chorcaighe um do bunuíodh leis an,
the expression the judge means the judge exercising the jurisdictions vested in the court and the judge thereof respectively under the principal act,cialluíonn an focal an breitheamh an breitheamh a fheidhmíonn na atá dílsithe sa chúirt agus i mbreitheamh na cúirte fé seach fén,
the expression the registrar means the registrar of the court and,cialluíonn an focal an clárathóir clárathóir na cúirte,
the expression the deputy registrar means the deputy registrar and clerk of the court,agus,
where mdash,i gcás mdash,
the board if they think fit may for the application,féadfaidh an bord más oiriúnach leo le hordú an scéim a chúlghairm agus scéim nua a chumadh ina hionad nó an scéim a chúlghairm go páirteach nó a leasú ar shlí eile chun an mhaoin a bheidh ar áireamh sa bhronntanas carthanúil a chur chun feidhme,
regulations under this section may provide that a person shall not mdash,féadfar a fhoráil le rialacháin faoin alt seo nach ndéanfaidh duine mdash,
the power conferred on the board by of section of the principal act to confer on any authorised undertaker power to lay electric lines along or across any street road railway or tramway shall include and be deemed always to have included power to confer on any authorised undertaker a like power to lay such lines above ground at any height and also a like power to erect in or on any such street road railway or tramway such posts poles and other erections as such authorised undertaker shall consider to be necessary or proper for carrying or supporting any such line so laid and power to break up such street road railway or tramway for the purpose of erecting any such post pole or other erection,an chomhacht a bronntar ar an mbord le den chun comhachta do bhronnadh ar aon ghnóthaire údaruithe chun línte leictreachais do chur fan no trasna aon tsráide bóthair bóthair iarainn no trambhealaigh beidh mar chuid di agus tuigfear go raibh riamh mar chuid di comhacht chun comhachta den tsórt chéanna do bhronnadh ar aon ghnóthaire údaruithe chun línte den tsórt san do chur suas aon aoirde os cionn tailimh agus fós comhacht den tsórt chéanna chun pé postaí polaí agus déanmhaisí eile do chur suas in aon tsráid bóthar bóthar iarainn no trambhealach den tsórt san no air is dóich leis an ngnóthaire údaruithe sin is gá no is ceart chun aon líne den tsórt san a cuirfear suas amhlaidh no do choinneáil suas agus comhacht chun na sráide an bhóthair an bhóthair iarainn no an trambhealaigh sin do réabadh chun aon phosta pola no déanmhais eile den tsórt san do chur suas,
where legal proceedings in respect of a post pole or other erection the erection of which is rendered lawful by this section were instituted against the board before the day of april and are pending whether in a court of first instance or a court having appellate jurisdiction in respect of such proceedings at the passing of this act the foregoing of this section shall be deemed for the purpose of such proceedings not to apply or have effect in respect of such post pole or other erection and the said proceedings shall be determined as if the said had not been enacted,i gcás imeachta dlí do bhunú i gcoinnibh an bhúird roimh an lá maidir le post pola no déanmhas eile go ndeineann an so é bheith dleathach é chur suas agus na himeachta san do bheith ar feitheamh i gcúirt chéadchéime é no i gcúirt go ndlighinse athchomharcach maidir leis na himeachta san le linn an achta so do rith tuigfear chun críche na san gan feidhm ná éifeacht do bheith ag na sin roimhe seo den alt so maidir leis an bposta no leis an bpola no leis an déanmhas eile sin agus bhéarfar breith ar na himeachta san fé is ná hachtófaí na sin,
under the name specified in the regulations if the food does not comply with the regulations,faoin ainm a bheidh sonraithe sna rialacháin mura gcomhlíonann an bia na rialacháin,
regulations under this section may provide that a person shall not mdash,féadfar a fhoráil le rialacháin faoin alt seo nach ndéanfaidh duine mdash,
if the food does not comply with the regulations,mura gcomhlíonann an bia na rialacháin,
a person who contravenes a regulation under this section shall be guilty of an offence,beidh duine a sháróidh rialachán faoin alt seo ciontach i gcion,
regulations under this section may provide that a person shall not export or shall not export to a specified country or countries food that does not comply with the regulations or specified provisions thereof,féadfar a fhoráil le rialacháin faoin alt seo nach duine nó nach sé go dtí tír shonraithe nó go dtí tíortha sonraithe bia nach gcomhlíonann na rialacháin nó forálacha sonraithe díobh,
before a minister of state mentioned in subsection of this section makes regulations under this section he shall consult with such organisations as appear in him to be interested to a substantial extent in the subject matter of the regulations unless it is in his opinion appropriate to make the regulations without such consultation,sula ndéanfaidh aire stáit dá luaitear i den alt seo rialacháin faoin alt seo glacfaidh sé comhairle le cibé eagraíochtaí ar dóigh leis mórchion leasa a bheith acu in ábhar na rialachán murab é a thuairim gurb iomchuí na rialacháin a dhéanamh gan comhairle a ghlacadh amhlaidh,
in this act the expression the minister mdash,san acht so cialluíonn an focal an taire mdash,
the principal act and this act may be cited together as the arts acts and and shall be construed together as one act,féadfar na hachtanna ealaíon agus a ghairm den agus den acht seo le chéile agus forléireofar iad le chéile mar aon acht amháin,
whenever the licensee under a public dancing licence fails to comply with the foregoing of this section such licensee shall be guilty of an offence under this section and shall be liable on summary conviction thereof to a fine not exceeding one pound for every day during which or any part of which such failure occurs,pé uair a theipfidh ar cheadúnaí fé cheadúnas rinnce phuiblí déanamh do réir an deiridh sin roimhe seo den alt so beidh an ceadúnaí sin ciontach i gcionta fén alt so agus ar a chiontú ann ar an slí achmair dlighfear fíneáil do chur air ná raghaidh thar púnt in aghaidh gach lae no aon choda de lá thárlóidh an teip sin,
the electricity supply acts to and this act shall be construed together as one act,forléireofar na hachtanna leictreachais soláthar go agus an tacht seo le chéile mar aon acht amháin,
the electricity supply acts to and this act may be cited together as the,féadfar na hachtanna leictreachais soláthar go a ghairm de na hachtanna leictreachais soláthar go agus den acht seo le chéile,
when the commissioners have approved of the draft award with such alterations if any as aforesaid they shall make a final award in the terms of the draft award as so approved and such final award shall operate as is hereafter in this act specified,nuair a bheidh na coimisinéirí sásta leis an tar éis pé atharuithe más ann dóibh den tsórt roimhráite do dhéanamh air déanfid mola deiridh i dtéarmaí an le bhfuilid sásta amhlaidh agus oibreoidh an mola deiridh sin fé mar adeirtear ina dhiaidh seo san acht so,
the person holding such inquiry as aforesaid shall at the conclusion thereof report thereon to the commissioners and the commissioners having considered such report may make such alterations whether by way of variation addition or omission in the draft award as they think proper,an té a bheidh ag déanamh fiosrúcháin den tsórt san roimhráite déanfa sé nuair a bheidh an fiosrúchán san críochnuithe tuarasgabháil do thabhairt do sna coimisinéirí air agus tar éis an tuarasgabháil sin do bhreithniú dhóibh féadfidh na coimisinéirí pé atharuithe tré atharú do dhéanamh é no no is dó leo is ceart do dhéanamh sa,
at the time and place specified in that behalf in the notices published pursuant to the foregoing a public inquiry in relation to the draft award shall be held by a person appointed for the purpose by the commissioners and all persons who in the opinion of the person holding the inquiry would be interested in or affected by the final award if made in the form of the draft award shall be entitled to appear and be heard in person or by solicitor or counsel and adduce evidence at such inquiry,san am agus san áit a luaidhtear chuige sin sna fógraí a foillsíodh do réir an sin roimhe seo déanfidh duine a cheapfidh na coimisinéirí chuige sin fiosrúchán puiblí i dtaobh an agus gach éinne gur dó leis an té a bheidh ag déanamh an fhiosrúcháin go mbainfadh an mola deiridh leis no go ndéanfadh sé difir do dá mba i bhfuirm an a déanfí é beidh teideal aige chun teacht i láthair agus éisteacht i bpearsain no tré atúrnae no tré abhcóide agus fianaise do chur ar nochta ag an bhfiosrúchán san,
the final award when duly enrolled pursuant to this section shall be conclusive and binding on all parties and a copy thereof issued and certified by the proper officer of the high court shall be conclusive evidence that the final award was duly made and shall also be conclusive evidence of the contents of the final award,nuair a bheidh an mola deiridh curtha ar an rolla go cuibhe do réir an ailt seo ní bheidh aon dul thairis agus beidh sé ina cheangal ar na páirtithe uile agus aon chóip di a tabharfar amach agus a deimhneofar ag an oifigeach ceart den beidh sí ina fianaise ar an mola deiridh do bheith déanta go cuibhe agus beidh sí ina fianaise leis ar a bhfuil sa mhola dheiridh,
the commissioners shall cause a true copy of the final award to be made and shall by endorsement thereon certify the same to be correct and shall then enroll the final award in the record and writ office of the high court and shall retain the said certified copy of the final award in their own custody,cuirfidh na coimisinéirí fé ndeár den mhola dheiridh do dhéanamh agus tré uirthi deimhneoid í bheith ceart agus ansan cuirfid an mola deiridh ar an rolla in oifig bhreacachán agus riteacha na agus coinneoid an chóip dheimhnite sin den mhola dheiridh ina gcimeád féin,
every person who carries on business or acts as a bookmaker in contravention of this section and every person who holds himself out or represents himself to be a bookmaker or a licensed bookmaker in contravention of this section shall be guilty of an offence under this section and shall be liable on summary conviction thereof to an excise penalty of five hundred pounds,gach éinne a dhéanfidh gnó no a ghníomhóidh mar gheallghlacadóir contrárdha don alt so agus gach éinne a thabharfidh le tuisgint no a chuirfidh in úil gur no geallghlacadóir ceadúnuithe é contrárdha don alt so beidh sé ciontach i gcionta fén alt so agus ar a chiontú ann ar an slí achmair dlighfar fíneáil mháil de chúig céad punt do chur air,
the minister may after consultation with the road authority give directions in relation to all or any at the following matters mdash,féadfaidh an taire tar éis dó comhairle a ghlacadh leis an údarás bóithre ordacháin a thabhairt maidir le gach ábhar nó aon ábhar acu seo a leanas mdash,
